Filename;Filetype;Exif.Image.Make;Exif.Image.Model;Exif.Image.Orientation;Exif.Image.XResolution;Exif.Image.YResolution;Exif.Image.ResolutionUnit;Exif.Image.Software;Exif.Image.DateTime;Exif.Image.YCbCrPositioning;Exif.Image.ExifTag;Exif.Photo.ExposureTime;Exif.Photo.FNumber;Exif.Photo.ISOSpeedRatings;Exif.Photo.ExifVersion;Exif.Photo.DateTimeOriginal;Exif.Photo.DateTimeDigitized;Exif.Photo.ComponentsConfiguration;Exif.Photo.ShutterSpeedValue;Exif.Photo.ExposureBiasValue;Exif.Photo.MeteringMode;Exif.Photo.LightSource;Exif.Photo.Flash;Exif.Photo.FocalLength;Exif.Photo.FlashpixVersion;Exif.Photo.ColorSpace;Exif.Photo.PixelXDimension;Exif.Photo.PixelYDimension;Exif.Photo.InteroperabilityTag;Exif.Iop.InteroperabilityIndex;Exif.Iop.InteroperabilityVersion;Exif.Photo.CustomRendered;Exif.Photo.ExposureMode;Exif.Photo.WhiteBalance;Exif.Photo.DigitalZoomRatio;Exif.Photo.SceneCaptureType;Exif.Photo.SubjectDistanceRange;Exif.Thumbnail.Compression;Exif.Thumbnail.Orientation;Exif.Thumbnail.XResolution;Exif.Thumbnail.YResolution;Exif.Thumbnail.ResolutionUnit;Exif.Thumbnail.JPEGInterchangeFormat;Exif.Thumbnail.JPEGInterchangeFormatLength;Exif.Image.Flash;Exif.Image.LightSource;Exif.Image.MeteringMode;Exif.Image.0xa403;Exif.Image.ImageLength;Exif.Image.FNumber;Exif.Image.FocalLength;Exif.Image.ImageWidth;Exif.Photo.0x0201;Exif.Photo.0x0202;Exif.Image.ExposureTime;Exif.Image.0xa404;Exif.Image.ExposureBiasValue
DSC_0067.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:07:21 21:37:04;1;212;10/400;26/10;100;48 50 50 48;2012:07:21 21:37:04;2012:07:21 21:37:04;1 2 3 0;532/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;4931;;;;;;;;;;;;;
DSC_0068.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:07:21 21:38:50;1;212;10/400;26/10;100;48 50 50 48;2012:07:21 21:38:50;2012:07:21 21:38:50;1 2 3 0;532/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;5063;;;;;;;;;;;;;
DSC_0069.JPG;jpg;Sony Ericsson;MK16i;6;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:07:31 22:21:16;1;212;10/160;26/10;320;48 50 50 48;2012:07:31 22:21:16;2012:07:31 22:21:16;1 2 3 0;400/100;0/3;255;0;25;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;6;72/1;72/1;2;730;6347;;;;;;;;;;;;;
DSC_0070.JPG;jpg;Sony Ericsson;MK16i;6;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:07:31 22:21:29;1;212;10/250;26/10;320;48 50 50 48;2012:07:31 22:21:29;2012:07:31 22:21:29;1 2 3 0;464/100;0/3;2;0;25;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;6;72/1;72/1;2;730;5944;;;;;;;;;;;;;
DSC_0071.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:11 17:07:04;1;212;10/320;26/10;160;48 50 50 48;2012:08:11 17:07:04;2012:08:11 17:07:04;1 2 3 0;500/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;5434;;;;;;;;;;;;;
DSC_0072.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:26 13:06:01;1;212;10/320;26/10;100;48 50 50 48;2012:08:26 13:06:01;2012:08:26 13:06:01;1 2 3 0;500/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;8221;;;;;;;;;;;;;
DSC_0073.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:26 13:07:32;1;212;10/320;26/10;100;48 50 50 48;2012:08:26 13:07:32;2012:08:26 13:07:32;1 2 3 0;500/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;8312;;;;;;;;;;;;;
DSC_0074.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:26 13:08:13;1;212;10/320;26/10;125;48 50 50 48;2012:08:26 13:08:13;2012:08:26 13:08:13;1 2 3 0;500/100;0/3;255;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;8872;;;;;;;;;;;;;
DSC_0075.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:26 13:09:20;1;212;10/320;26/10;100;48 50 50 48;2012:08:26 13:09:20;2012:08:26 13:09:20;1 2 3 0;500/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;10206;;;;;;;;;;;;;
DSC_0076.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:26 13:10:30;1;212;10/320;26/10;125;48 50 50 48;2012:08:26 13:10:30;2012:08:26 13:10:30;1 2 3 0;500/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;8190;;;;;;;;;;;;;
