Filename;Filetype;Exif.Photo.ExposureBiasValue;Exif.Photo.DateTimeOriginal;Exif.Image.Model;Exif.Image.Orientation;Exif.Photo.FocalLength;Exif.Photo.FNumber;Exif.Photo.MeteringMode;Exif.Photo.ExposureTime;Exif.Photo.Flash;Exif.Photo.ExposureProgram;Exif.Image.Make;Exif.Photo.ISOSpeedRatings
IMG_20200714_134400.jpg;jpg;0/10;2020:07:14 13:44:01;ELE-L29;0;7480/1000;240/100;5;346000/1000000000;0;2;HUAWEI;50
IMG_20200714_134401.jpg;jpg;0/10;2020:07:14 13:44:02;ELE-L29;0;7480/1000;240/100;5;346000/1000000000;0;2;HUAWEI;50
IMG_20200714_134433.jpg;jpg;0/10;2020:07:14 13:44:34;ELE-L29;0;5580/1000;180/100;5;202000/1000000000;0;2;HUAWEI;50
IMG_20200714_134434.jpg;jpg;0/10;2020:07:14 13:44:34;ELE-L29;0;5580/1000;180/100;5;202000/1000000000;0;2;HUAWEI;50
IMG_20200714_134445.jpg;jpg;0/10;2020:07:14 13:44:46;ELE-L29;0;5580/1000;180/100;5;196000/1000000000;0;2;HUAWEI;50
IMG_20200714_134448.jpg;jpg;0/10;2020:07:14 13:44:49;ELE-L29;0;5580/1000;180/100;5;247000/1000000000;0;2;HUAWEI;50
IMG_20200714_134450.jpg;jpg;0/10;2020:07:14 13:44:51;ELE-L29;0;5580/1000;180/100;5;247000/1000000000;0;2;HUAWEI;50
IMG_20200714_152108.jpg;jpg;0/10;2020:07:14 15:21:10;ELE-L29;1;3360/1000;200/100;5;1146000/1000000000;24;2;HUAWEI;50
IMG_20200714_152524.jpg;jpg;0/10;2020:07:14 15:25:26;ELE-L29;0;7480/1000;240/100;5;201000/1000000000;0;2;HUAWEI;50
IMG_20200714_152535.jpg;jpg;0/10;2020:07:14 15:25:36;ELE-L29;0;3360/1000;200/100;5;1374000/1000000000;24;2;HUAWEI;50
IMG_20200714_152536.jpg;jpg;0/10;2020:07:14 15:25:37;ELE-L29;0;3360/1000;200/100;5;1694000/1000000000;24;2;HUAWEI;50
IMG_20200714_155600.jpg;jpg;0/10;2020:07:14 15:56:01;ELE-L29;0;5580/1000;180/100;5;308000/1000000000;0;2;HUAWEI;50
IMG_20200714_190822.jpg;jpg;0/10;2020:07:14 19:08:22;ELE-L29;0;5580/1000;180/100;5;395000/1000000000;0;2;HUAWEI;50
IMG_20200714_190823.jpg;jpg;0/10;2020:07:14 19:08:23;ELE-L29;0;5580/1000;180/100;5;395000/1000000000;0;2;HUAWEI;50
IMG_20200714_190825.jpg;jpg;0/10;2020:07:14 19:08:25;ELE-L29;0;5580/1000;180/100;5;395000/1000000000;0;2;HUAWEI;50
IMG_20200714_190827.jpg;jpg;0/10;2020:07:14 19:08:27;ELE-L29;0;5580/1000;180/100;5;432000/1000000000;0;2;HUAWEI;50
IMG_20200714_190847.jpg;jpg;0/10;2020:07:14 19:08:48;ELE-L29;0;7480/1000;240/100;5;663000/1000000000;0;2;HUAWEI;50
IMG_20200714_221343.jpg;jpg;0/10;2020:07:14 22:13:45;ELE-L29;0;5580/1000;180/100;5;10000000/1000000000;0;2;HUAWEI;64
IMG_20200714_221425.jpg;jpg;0/10;2020:07:14 22:14:25;ELE-L29;0;2260/1000;220/100;5;20000000/1000000000;0;2;HUAWEI;160
IMG_20200714_221436.jpg;jpg;0/10;2020:07:14 22:14:36;ELE-L29;0;2260/1000;220/100;5;20000000/1000000000;0;2;HUAWEI;200
IMG_20200714_221711.jpg;jpg;0/10;2020:07:14 22:17:13;ELE-L29;0;5580/1000;180/100;5;10000000/1000000000;0;2;HUAWEI;100
IMG_20200714_221714.jpg;jpg;0/10;2020:07:14 22:17:15;ELE-L29;0;5580/1000;180/100;5;10000000/1000000000;0;2;HUAWEI;100
IMG_20200715_120039.jpg;jpg;0/10;2020:07:15 12:00:41;ELE-L29;0;5580/1000;180/100;5;237000/1000000000;0;2;HUAWEI;50
IMG_20200715_120043.jpg;jpg;0/10;2020:07:15 12:00:44;ELE-L29;0;5580/1000;180/100;5;237000/1000000000;0;2;HUAWEI;50
IMG_20200715_132010.jpg;jpg;0/10;2020:07:15 13:20:12;ELE-L29;0;5580/1000;180/100;5;2351000/1000000000;0;2;HUAWEI;50
IMG_20200715_132409.jpg;jpg;0/10;2020:07:15 13:24:10;ELE-L29;0;7480/1000;240/100;5;6230000/1000000000;0;2;HUAWEI;50
IMG_20200715_145410.jpg;jpg;0/10;2020:07:15 14:54:10;ELE-L29;0;7480/1000;240/100;5;1778000/1000000000;0;2;HUAWEI;50
IMG_20200715_215448.jpg;jpg;0/10;2020:07:15 21:54:50;ELE-L29;0;2260/1000;220/100;5;20000000/1000000000;0;2;HUAWEI;125
IMG_20200715_215537.jpg;jpg;0/10;2020:07:15 21:55:38;ELE-L29;0;5580/1000;180/100;5;10000000/1000000000;0;2;HUAWEI;80
IMG_20200715_215813.jpg;jpg;0/10;2020:07:15 21:58:14;ELE-L29;0;7480/1000;240/100;5;20000000/1000000000;0;2;HUAWEI;64
IMG_20200715_215830.jpg;jpg;0/10;2020:07:15 21:58:30;ELE-L29;0;7480/1000;240/100;5;20000000/1000000000;0;2;HUAWEI;50
IMG_20200715_215927.jpg;jpg;0/10;2020:07:15 21:59:28;ELE-L29;0;7480/1000;240/100;5;10000000/1000000000;0;2;HUAWEI;64
IMG_20200715_215928.jpg;jpg;0/10;2020:07:15 21:59:29;ELE-L29;0;7480/1000;240/100;5;10000000/1000000000;0;2;HUAWEI;64
IMG_20200715_215931.jpg;jpg;0/10;2020:07:15 21:59:31;ELE-L29;0;7480/1000;240/100;5;10000000/1000000000;0;2;HUAWEI;64
